param Oferta:												
	Platano	Cafe	Aguacate	Maiz	Yuca	Banano	Tomate	Lulo	Limon	Maracuya	Melon	=
241	3573.0	66.2	88.6	1326.9	412.5	2190.9	215.0	167.3	380.0	257.9	1088.4	
242	7328.9	85.9	343.7	766.6	851.8	840.4	262.1	488.8	638.4	356.0	508.9	
243	847.6	45.9	166.5	1047.7	245.3	148.3	55.9	57.7	294.5	180.5	0.0	
244	119.7	11.8	24.5	171.8	366.1	117.7	51.6	26.5	10.9	38.7	2238.0	
245	894.7	31.1	140.5	81.2	107.9	0.0	202.9	18.2	0.0	2.1	0.0	
246	402.2	24.8	2717.4	641.3	819.5	118.7	602.0	262.5	280.0	0.0	0.0	
247	624.1	33.2	232.2	306.2	161.8	0.0	188.2	312.5	88.4	0.0	0.0	
248	1782.5	165.0	549.2	2747.3	1509.5	1160.7	395.6	662.7	464.4	856.2	0.0	
249	467.5	25.6	39.4	78.9	88.5	7.0	188.2	36.2	96.7	0.0	0.0	
250	664.8	28.9	386.9	398.6	462.6	130.6	301.0	263.9	52.9	0.0	0.0	
251	121.4	7.3	54.9	132.0	152.1	18.7	26.9	40.4	233.9	20.2	0.0	
252	852.9	30.2	197.5	1114.3	224.3	642.7	0.0	40.4	94.6	108.3	448.8	
253	1077.8	71.5	302.2	243.1	1083.7	631.8	112.9	227.2	25.1	0.0	0.0	
254	725.8	59.9	332.2	801.7	112.2	42.1	129.0	129.8	683.1	44.5	424.1	
255	7533.9	290.7	925.3	4678.2	1748.7	1678.4	2608.5	636.1	563.5	0.0	0.0	
256	531.2	14.7	155.8	0.0	172.6	1195.3	21.5	34.7	428.7	9.1	1825.8	
257	296.8	43.4	173.5	31.1	140.2	76.2	233.0	9.4	32.6	0.0	0.0	
258	678.4	77.0	1085.7	2989.7	1099.8	142.4	763.3	749.9	22.8	0.0	0.0	
259	1940.8	55.4	601.8	6.2	48.6	316.4	107.5	60.6	63.6	4.2	0.0	
260	380.4	107.0	332.6	289.1	182.3	392.1	188.2	493.2	411.8	1237.6	0.0	
261	404.6	38.7	335.4	534.4	397.9	85.3	250.9	70.7	298.9	571.7	1745.7	
262	91.1	7.4	10.5	516.3	138.1	201.7	36.6	14.5	15.1	62.9	229.7	
263	2384.8	38.9	110.7	801.5	301.9	8221.7	143.4	211.6	171.6	232.1	1166.2	
264	665.7	13.3	17.2	245.7	0.0	498.3	6.9	34.7	31.8	0.0	0.0	
265	593.6	49.9	92.0	608.8	215.7	3979.4	228.7	77.0	108.0	77.4	0.0	
266	413.0	0.0	0.0	71.6	0.0	0.0	5.4	0.0	1066.0	0.0	541.9	
267	83.1	0.0	0.5	4.8	0.0	0.0	0.0	0.0	117.3	0.0	197.9	
268	8099.4	199.5	342.9	6105.5	39.9	221.5	480.9	1514.2	876.4	148.9	1814.0	
269	181.4	13.1	127.0	265.8	169.9	35.6	69.9	17.4	52.8	101.6	0.0	
270	382.3	27.3	18.4	1122.9	566.1	79.1	489.1	1068.9	188.5	355.8	0.0	
271	756.4	11.7	54.3	3541.3	603.8	435.1	415.7	288.5	416.3	225.6	1696.2	
272	214.9	11.4	25.3	138.0	58.8	988.7	143.4	333.2	108.1	100.4	1891.7	
273	199.5	1.7	68.8	99.7	41.6	0.0	143.4	34.7	0.0	443.8	189.7	
274	1993.7	62.0	281.9	116.9	18.9	4539.9	215.0	311.3	87.8	354.6	0.0	
275	1107.7	15.8	26.8	470.1	517.6	43.6	0.0	70.7	1080.2	67.7	3267.7	
276	256.4	17.6	39.9	198.8	116.5	0.0	109.7	70.4	254.4	195.1	699.7	
277	2689.4	182.3	364.3	319.0	3666.0	217.6	372.7	924.4	57.0	0.0	0.0	
278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
;												
