param Demanda:																						
	Platano	Cafe	Aguacate	Maiz	Yuca	Banano	Tomate	Lulo	Limon	Maracuya	Melon	=

241	16959.2	659.6	2897.2	11070.6	5653.1	8244.1	3062.1	207.3	659.6	1648.9	447.6	
242	1111.3	43.3	189.9	725.4	370.5	540.2	200.7	13.6	43.3	108.1	29.4	
243	787.1	30.7	134.5	513.8	262.4	382.6	142.2	9.7	30.7	76.6	20.8	
244	318.6	12.4	54.5	208.0	106.2	154.9	57.6	3.9	12.4	31.0	8.5	
245	395.5	15.4	67.6	258.2	131.9	192.3	71.4	4.9	15.4	38.5	10.5	
246	1167.3	45.4	199.5	762.0	389.1	567.5	210.8	14.3	45.4	113.5	30.9	
247	571.5	22.3	97.7	373.1	190.5	277.8	103.2	7.0	22.3	55.6	15.1	
248	2659.8	103.5	454.4	1736.3	886.6	1293.0	480.3	32.6	103.5	258.6	70.2	
249	268.7	10.5	45.9	175.4	89.6	130.6	48.6	3.3	10.5	26.2	7.1	
250	486.3	19.0	83.1	317.4	162.1	236.4	87.8	6.0	19.0	47.3	12.9	
251	293.7	11.5	50.2	191.7	97.9	142.8	53.1	3.6	11.5	28.6	7.8	
252	1224.5	47.7	209.2	799.3	408.2	595.3	221.1	15.0	47.7	119.1	32.4	
253	507.1	19.8	86.7	331.0	169.1	246.5	91.6	6.2	19.8	49.3	13.4	
254	583.7	22.7	99.8	381.0	194.6	283.8	105.4	7.2	22.7	56.8	15.5	
255	5792.4	225.3	989.6	3781.2	1930.8	2815.8	1045.9	70.8	225.3	563.2	152.9	
256	1175.3	45.8	200.8	767.2	391.8	571.4	212.2	14.4	45.8	114.3	31.1	
257	440.4	17.2	75.3	287.5	146.8	214.1	79.6	5.4	17.2	42.9	11.7	
258	1531.9	59.6	261.7	1000.0	510.7	744.7	276.6	18.8	59.6	149.0	40.5	
259	456.7	17.8	78.1	298.2	152.3	222.1	82.5	5.6	17.8	44.5	12.1	
260	964.6	37.6	164.8	629.7	321.6	468.9	174.2	11.8	37.6	93.8	25.5	
261	775.4	30.2	132.5	506.2	258.5	377.0	140.0	9.5	30.2	75.4	20.5	
262	477.3	18.6	81.6	311.6	159.1	232.1	86.2	5.9	18.6	46.5	12.6	
263	517.4	20.2	88.4	337.8	172.5	251.6	93.5	6.4	20.2	50.4	13.7	
264	356.4	13.9	60.9	232.7	118.8	173.3	64.4	4.4	13.9	34.7	9.5	
265	987.2	38.4	168.7	644.5	329.1	479.9	178.3	12.1	38.4	96.0	26.1	
266	342.1	13.4	58.5	223.3	114.1	166.3	61.8	4.2	13.4	33.3	9.1	
267	368.8	14.4	63.0	240.7	123.0	179.3	66.6	4.6	14.4	35.9	9.8	
268	3285.3	127.8	561.3	2144.6	1095.1	1597.1	593.2	40.2	127.8	319.5	86.7	
269	187.6	7.3	32.1	122.5	62.6	91.2	33.9	2.3	7.3	18.3	5.0	
270	315.5	12.3	53.9	206.0	105.2	153.4	57.0	3.9	12.3	30.7	8.4	
271	1427.0	55.5	243.8	931.5	475.7	693.7	257.7	17.5	55.5	138.8	37.7	
272	381.9	14.9	65.3	249.3	127.3	185.7	69.0	4.7	14.9	37.2	10.1	
273	206.8	8.1	35.4	135.0	69.0	100.5	37.4	2.6	8.1	20.1	5.5	
274	1001.1	39.0	171.1	653.5	333.7	486.7	180.8	12.3	39.0	97.4	26.5	
275	711.5	27.7	121.6	464.5	237.2	345.9	128.5	8.7	27.7	69.2	18.8	
276	381.6	14.9	65.2	249.1	127.2	185.5	68.9	4.7	14.9	37.1	10.1	
277	1076.4	41.9	183.9	702.7	358.8	523.3	194.4	13.2	41.9	104.7	28.5	
278	619.4	0.0	1519.9	50.0	9.6	4700.1	89.4	8605.7	7753.7	551.0	18401.7	
;												
